"","Channel","Explant_ID","Explant","ControlMO","SOX10MO"
"1","smpd3","20220829_ControlMO_Explant1","Explant1",1.02082503697062,NA
"2","smpd3","20220829_ControlMO_Explant10","Explant10",0.707958259748513,NA
"3","smpd3","20220829_ControlMO_Explant2","Explant2",1.2967214698772,NA
"4","smpd3","20220829_ControlMO_Explant3","Explant3",0.969494060900325,NA
"5","smpd3","20220829_ControlMO_Explant4","Explant4",1.11906671788756,NA
"6","smpd3","20220829_ControlMO_Explant5","Explant5",1.32575710692291,NA
"7","smpd3","20220829_ControlMO_Explant6","Explant6",0.717272284167901,NA
"8","smpd3","20220829_ControlMO_Explant7","Explant7",1.11997766162186,NA
"9","smpd3","20220829_ControlMO_Explant8","Explant8",0.798907213293389,NA
"10","smpd3","20220829_ControlMO_Explant9","Explant9",0.83045318235643,NA
"11","smpd3","20220902_ControlMO_Explant1","Explant1",0.983729690394555,NA
"12","smpd3","20220902_ControlMO_Explant2","Explant2",1.15013674427104,NA
"13","smpd3","20220902_ControlMO_Explant3","Explant3",0.839722493624769,NA
"14","smpd3","20220829_SOX10MO_Explant4","Explant4",NA,0.565849320994434
"15","smpd3","20220829_SOX10MO_Explant5","Explant5",NA,0.705251188714945
"16","smpd3","20220829_SOX10MO_Explant6","Explant6",NA,0.493030674795035
"17","smpd3","20220902_SOX10MO_Explant1","Explant1",NA,0.628469102594027
"18","smpd3","20220902_SOX10MO_Explant2","Explant2",NA,0.719033993922657
"19","smpd3","20220902_SOX10MO_Explant3","Explant3",NA,0.89628705551459
